datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B2;C;D;E;D1_unveraendert;D1_veraendert;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D3_unveraendert;D3_veraendert;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D3_15;D3_16;D3_17;D3_18;D3_19;D3_20;D5_unveraendert;D5_veraendert;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D7_unveraendert;D7_veraendert;D7;D7_1;D7_2;D7_3;D7_4;D7_5;D7_6;D7_7;D7_8;D7_9;D7_10;D7_11;D7_12;D7_13;D7_14;D7_15;D7_16;D7_17;D7_18;D7_19;D7_20;D8_unveraendert;D8_veraendert;D8;D8_1;D8_2;D8_3;D8_4;D8_5;D8_6;D8_7;D8_8;D8_9;D8_10;D8_11;D8_12;D8_13;D8_14;D8_15;D8_16;D8_17;D8_18;D8_19;D8_20;D9_unveraendert;D9_veraendert;D9;D9_1;D9_2;D9_3;D9_4;D9_5;D9_6;D9_7;D9_8;D9_9;D9_10;D9_11;D9_12;D9_13;D9_14;D9_15;D9_16;D9_17;D9_18;D9_19;D9_20;Summe_unveraendert;Summe_veraendert
15.03.2020;Stadtratswahl;09779201;0101;Rain, St (1);1;1;974;779;0;1753;319;0;6;5630;319;11;17;1348;235;83;144;96;90;75;40;53;45;32;33;43;26;37;35;53;91;58;26;53;10;7;880;157;53;112;49;57;18;27;43;17;37;33;26;24;27;27;20;54;24;40;35;11;15;1179;254;140;108;51;31;38;31;60;40;51;27;35;56;42;36;38;27;44;41;29;2;0;289;26;21;36;16;14;7;25;27;4;43;5;12;7;4;12;13;7;3;3;4;7;10;1192;210;119;172;62;62;31;49;49;25;35;29;20;37;39;19;44;68;30;41;51;8;6;742;175;49;62;37;44;12;63;28;27;34;18;31;24;13;13;26;16;24;31;15;49;55
15.03.2020;Stadtratswahl;09779201;0102;Rain, St (2);1;1;951;880;0;1831;321;0;11;5688;321;25;21;1617;247;76;120;93;96;92;73;59;65;63;60;50;53;64;86;60;69;79;50;62;6;8;887;146;62;78;40;42;25;38;65;25;26;37;32;30;42;20;23;50;16;58;32;18;10;969;198;94;90;52;35;44;31;40;28;40;36;39;39;22;31;26;25;28;29;42;0;2;249;18;18;34;5;10;16;8;18;2;9;6;4;7;31;6;27;9;4;15;2;10;12;822;91;77;97;45;39;38;35;31;26;37;22;26;25;25;28;22;46;27;36;49;8;17;1144;258;61;57;47;58;44;91;59;48;55;28;69;25;28;42;32;34;33;55;20;67;70
15.03.2020;Stadtratswahl;09779201;0103;Rain, St (3);1;1;992;672;0;1664;263;0;6;4443;263;11;14;990;202;62;143;76;55;62;22;22;17;16;23;38;20;33;24;46;34;41;34;20;6;10;861;147;55;95;38;97;19;34;37;24;32;29;27;34;25;23;20;41;35;22;27;7;7;815;240;83;96;49;32;35;24;31;18;22;17;12;19;12;16;16;15;32;21;25;2;1;163;19;10;15;6;18;3;8;10;8;4;4;8;5;5;6;11;9;6;3;5;6;6;826;175;66;108;65;29;25;56;29;18;33;18;16;12;19;13;25;33;23;36;27;6;7;788;193;53;50;52;44;20;66;41;19;29;17;46;22;15;18;20;14;18;24;27;38;45
15.03.2020;Stadtratswahl;09779201;0104;Rain, St (4);1;1;405;476;0;881;143;0;6;2591;143;3;2;347;83;27;17;6;8;19;15;15;11;41;7;12;8;11;20;8;9;13;13;4;5;0;292;64;15;18;7;10;6;5;9;9;9;18;8;6;14;36;6;12;8;6;26;0;1;166;52;17;12;9;5;17;2;15;4;2;2;10;4;1;1;1;1;5;5;1;11;31;1504;133;207;91;63;38;20;74;45;58;21;159;47;166;23;182;64;35;25;30;23;0;0;109;21;12;13;1;1;10;1;8;1;1;1;1;1;6;1;1;7;3;7;12;2;0;173;70;7;6;10;2;3;19;6;2;10;9;4;3;2;2;2;3;2;6;5;21;34
15.03.2020;Stadtratswahl;09779201;0105;Rain, St (5);1;1;250;372;0;622;109;0;4;1830;109;3;7;418;82;12;23;21;5;12;118;10;4;35;8;19;3;4;12;9;10;14;14;3;1;1;134;43;5;3;3;14;3;2;2;6;3;8;2;2;2;4;2;6;2;6;16;1;1;155;38;14;11;7;6;7;7;6;4;4;8;7;5;6;3;6;3;6;3;4;4;11;865;116;39;53;54;46;65;75;15;23;11;17;54;31;9;17;107;23;37;8;65;1;1;82;9;11;4;7;6;1;4;6;1;5;2;1;1;4;2;1;5;1;2;9;1;0;176;80;3;6;8;6;3;6;6;12;5;12;4;3;3;3;1;1;1;9;4;11;21
15.03.2020;Stadtratswahl;09779201;0106;Rain, St (6);1;1;170;191;0;361;69;0;4;1180;69;0;2;210;59;3;23;5;2;7;19;1;1;1;2;60;1;0;8;0;9;4;5;0;0;0;75;17;2;10;1;5;1;7;2;1;1;1;1;1;1;4;0;12;3;0;5;0;2;99;30;4;17;6;2;3;2;6;1;2;4;2;2;7;2;1;1;4;2;1;5;11;623;99;16;34;41;98;10;56;14;11;28;17;15;20;7;17;41;74;11;6;8;0;0;67;33;4;7;0;0;0;6;2;0;3;4;0;1;0;1;0;1;3;0;2;0;0;106;54;5;0;6;3;0;6;10;0;6;1;0;0;0;1;0;0;3;1;10;5;15
15.03.2020;Stadtratswahl;09779201;0111;Rain, St (B11);1;1;0;0;0;0;355;355;14;6584;355;9;10;1819;464;151;269;139;108;81;58;73;62;45;31;39;16;36;22;34;48;77;29;37;2;2;763;189;60;147;16;56;10;15;44;21;28;9;15;9;12;7;11;55;13;26;20;2;6;1043;399;141;155;69;14;24;6;36;13;16;11;13;31;33;20;13;10;8;20;11;1;0;448;47;25;51;18;9;23;49;50;9;45;14;13;8;10;17;18;16;9;5;12;3;5;1449;310;157;216;108;65;22;93;55;20;43;17;24;46;31;17;52;44;26;57;46;5;3;1062;321;57;68;53;92;23;134;41;19;36;33;33;13;11;12;24;17;18;39;18;22;26
15.03.2020;Stadtratswahl;09779201;0112;Rain, St (B12);1;1;0;0;0;0;353;353;3;6709;353;3;9;1681;445;103;216;115;93;81;59;59;32;52;51;29;37;44;63;51;45;55;9;42;5;2;872;243;58;94;50;44;15;21;54;14;23;20;17;20;49;22;11;37;16;36;28;1;4;819;383;84;106;41;11;36;5;14;17;7;11;6;7;8;25;10;6;21;7;14;3;1;663;70;62;126;18;26;10;35;24;19;25;17;32;13;42;30;27;18;15;36;18;3;4;1156;260;139;179;53;81;37;37;25;13;28;17;18;28;22;16;36;27;23;57;60;5;8;1518;428;99;137;78;119;38;142;57;40;48;28;54;18;44;23;27;23;40;64;11;20;28
15.03.2020;Stadtratswahl;09779201;0113;Rain, St (B13);1;1;0;0;0;0;351;351;3;6574;351;14;11;1673;375;157;206;131;99;87;61;51;34;35;34;45;27;27;58;43;63;69;33;38;3;4;728;188;37;91;39;101;5;27;30;8;19;19;13;13;9;4;19;37;15;17;37;6;9;1171;378;127;147;86;20;64;32;40;27;19;25;12;26;14;39;27;19;10;21;38;1;2;373;67;24;20;33;21;13;22;13;4;7;6;28;13;11;9;28;27;4;5;18;5;7;1296;298;124;179;89;52;34;73;61;27;53;12;13;27;33;24;24;52;15;56;50;15;0;1333;329;85;98;63;54;33;133;44;31;66;35;58;59;48;29;35;28;35;36;34;44;33
15.03.2020;Stadtratswahl;09779201;0114;Rain, St (B14);1;1;0;0;0;0;361;361;7;6954;361;8;5;1205;333;31;112;45;37;56;99;76;31;146;27;37;11;16;42;24;23;22;15;22;2;0;581;215;12;50;8;33;5;8;8;2;4;20;12;11;21;43;3;35;7;4;80;1;3;395;176;53;48;13;6;19;5;11;9;7;6;12;7;6;5;2;2;3;2;3;13;43;3715;412;431;283;123;53;27;205;74;256;46;397;135;400;67;531;95;50;41;44;45;2;0;433;123;24;57;21;18;9;36;26;4;18;3;9;2;14;2;3;19;7;19;19;1;0;625;380;22;9;28;21;6;54;17;10;6;3;9;6;5;5;2;10;13;15;4;27;51
15.03.2020;Stadtratswahl;09779201;0115;Rain, St (B15);1;1;0;0;0;0;369;369;7;6950;369;4;13;1978;382;46;141;65;32;94;451;60;21;261;27;58;10;24;90;17;52;72;26;49;2;0;612;184;28;61;25;62;5;8;29;37;6;27;15;13;13;9;7;29;3;11;40;2;0;564;261;74;64;26;17;17;5;11;6;6;10;3;5;5;21;3;2;6;2;20;5;14;2453;393;144;155;273;50;133;272;33;31;28;56;193;65;29;61;222;71;95;32;117;2;0;601;115;57;123;38;15;7;48;29;12;13;12;12;12;10;6;17;19;7;24;25;4;0;742;304;32;38;37;33;16;82;13;11;8;52;22;11;15;11;12;9;6;20;10;19;27
15.03.2020;Stadtratswahl;09779201;0116;Rain, St (B16);1;1;0;0;0;0;358;358;6;6675;358;11;9;1643;389;103;161;73;83;78;67;56;54;32;41;189;15;25;48;55;63;48;30;33;3;2;687;198;46;82;31;43;11;28;41;8;18;21;5;14;26;10;13;36;14;17;25;3;7;1018;362;111;128;64;21;36;28;23;25;19;36;27;14;22;22;12;15;9;17;27;2;11;1207;162;58;72;55;256;10;100;42;31;34;19;30;29;9;32;65;161;12;11;19;8;5;1209;276;124;181;68;60;21;75;38;27;53;14;17;29;28;14;27;55;16;31;55;4;5;911;267;46;63;56;34;8;101;32;13;24;17;49;31;28;12;17;13;41;29;30;31;39
15.03.2020;Stadtratswahl;09779201;0117;Rain, St (B17);1;1;0;0;0;0;358;358;4;6774;358;3;19;1876;467;124;277;146;104;86;68;45;57;44;43;43;11;46;57;38;64;64;34;58;3;2;766;160;53;166;32;52;9;19;51;8;13;15;10;11;25;12;21;47;20;34;8;7;5;1192;491;162;150;66;17;37;21;21;16;31;23;10;27;12;35;31;7;8;16;11;0;3;419;45;33;72;15;28;3;7;29;13;11;14;13;12;15;17;20;37;2;27;6;0;5;1435;340;169;281;81;62;15;48;27;14;45;16;24;34;25;13;31;56;16;61;77;5;4;1086;352;78;64;46;70;36;117;24;19;40;29;35;29;12;24;31;17;27;24;12;18;38
